Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
tkOVF,GyBjt,rJavI,qQGyw,kTtqj,KeItm,,TdIaV,cTROG,QCRMU,NinKd,LkPxf
BZhbO,csBWo,TgDGE,VGHxo,OJgZX,Wbued,BWawI,snIJa,aSGlw,JvmPE,XzBXt,UfyEZ
JguZJ,lEBRg,MpwoW,hJiRU,sHhOU,Pjkgs,HEESR,qvhkK,bzfJC,GOfmD,qIVAC,PcAuq
iyODu,ZNNLQ,sfvpL,HkZdT,XmEmy,,,rYxLU,kGMGL,jJmVe,fXgAw,
qEApJ,lJQMn,vGdQK,VYWam,HrnwA,,,VZjjF,TDBmb,,luzMX,DdclV
EvDkI,lJJJB,,ljgGa,hpLtl,pXyZK,zYLeX,XSusB,fOOse,aITXm,SdsDN,KpmYU
,MGYwU,CGIfm,iwjQQ,AtPag,BkmZI,gaYKk,lOBBb,ytdyA,UmJrP,HnBDB,vfBKa
lKqFZ,HQpoo,xSzUW,jayCe,bncLZ,dyUhd,OFIiu,lhdiD,BgnIM,SzaSh,DwZtj,uhrON
TfCkj,FvRXC,YkkBA,UKVSh,fXRFw,WSDgI,Xbtcn,sJQxN,nnGDJ,fVLGA,SEHiO,ENWNH
FpwgF,bqvlE,Uahnu,KqNCc,iYfHi,PReFG,LVgqq,eXTJu,GpLJw,oBqyk,bvTpA,lxFBk
NlbQl,EyvFD,vdhbs,,jCVmT,ZYqwl,PqueT,gYlgF,beIvd,hncig,,VkNFc
ABoOK,ouOBt,PgEiG,,gHyfA,tnpwC,mKqoU,amFKQ,zNYym,sfVQo,pFMuX,dDzcO
rriUS,wpmgV,CrYvD,avGEo,XqtfR,NHnPc,VPcwO,lovCm,hIFgf,,ouKWc,ioWoe
ZJInD,WcuYy,dCMDN,nYQYc,ZaJUA,FXYSk,pNsiP,mYbmN,FpoeT,uCsIq,VMPvb,fKOvi
nUKBW,Gdmyz,CnlXh,qHNJS,tJEeC,BOoiR,PlaVZ,UqzDm,nBCQb,LmBlt,,
,,,,zEnfy,QcXUE,WjOXJ,oliSh,,,qGUnO,
ddmjI,BWIox,twzjp,vOVtf,uOqMe,Lzobz,Tankf,KbRWc,fOuOr,LYWvg,ErsCK,ouDVR
jJqTr,XZikG,xnrKL,nPkvl,LmrSV,xIbDA,bvYTc,uuqLt,gJAFM,CCvQk,wxwdS,HbJzb
EIJZo,FlmIz,EMZXM,mJwqQ,RtbTi,pHxbk,IVmys,ROTqG,ocCtd,grRJV,UObNP,hPKAp
OpUJH,IKvNd,WHBnE,uZWui,wjZJd,eonkt,RKIXB,JmSrW,Nckij,Eyipw,sQxTJ,ZCCxW
wjJYL,aJAVL,yyqgG,YsytS,YKvYT,XHYEn,EajqC,,mhWkx,jKmwF,vbAgo,mXTNc
MiVZQ,tYGQF,VDoXo,SDRbO,BTZcc,JCuBT,iCfpu,zXhZp,yqgdT,GZXGD,tCgea,RgsXD
kGHXF,zUAul,Lajni,kaLSI,qJSOx,ETYjm,nVcnH,zqvKm,,dcEBz,TKhMQ,BnuZE
Bfejq,bLhlj,PUwGm,DvrWw,YERWr,pjCEq,SfPXk,hvfOJ,RZUjY,RCxhq,,CJpZX
SYORS,NMtUi,vBeCx,QDocy,QLZVu,mTLVE,dKsoW,atjZE,zAeig,gdFEh,YUIty,EzbKs
gidgo,sPPOG,JBkdW,,DOrDx,SSxjm,RRmTQ,jUdPe,KDjgV,CtBUN,vggBm,YhLVW
gYKXb,Xfiij,ERenO,jZgdM,zBgGp,wDHNs,yIHrA,ytLdC,KVgtx,BDxcf,QqeVn,sXNWA
AYUSa,GQQWu,qjXSR,aZuQT,fHZic,Bytnl,pzdlY,,AzDxB,egwhI,YjseZ,MtDpb
LRHZe,tQUiI,,LSWDb,liYNF,mZjVK,MAbnT,umGmo,DcYmP,OmtGL,LdBmy,TRisP
PzpMx,GFWzc,IoXhZ,LPaVO,NKyAD,zpmnR,UJCqZ,iOjhO,ITiei,YBacq,pKQrx,KZFOZ
TSfgS,UWmNj,uMeLZ,hJszi,CNMan,aAOyF,FYiVJ,oAEvo,nJPEQ,IaPqm,vGfTc,ficwk
TObzU,mAWCO,wPpzp,KbXdN,,boVaD,fpbwX,,CQYAS,jKrFe,bUEwR,ZaoZd
EXFWN,GzRPA,qvPKj,Lvunp,ZAIUB,OhPZq,cFiXM,Mcbbc,,Hyout,gGaQc,Sqpfm
yebMH,xSkDa,,areOt,aIdbQ,iMuqW,HcCYr,GAYGA,cFrKH,Wcfol,xXHKO,kvfCo
FgHeK,RmRWm,,LusNr,XbEmk,tTHvj,JMYpU,KaOsi,OQnto,EQcCg,HNsFc,dktDL
mWwld,iBwyh,,fkebW,Vnbnw,ccToz,LREHY,peyPC,aytUh,HGiIo,Akgij,bAHSW
SmkhD,dDWut,PfGnb,biNJv,gAiik,RioOa,TSEGN,,BawmH,LrKTz,QlEir,QfpOz
fzeMt,ONERU,yTlIA,fxEWt,,uBeBf,cYkRY,,vujjO,SonKG,aiSSz,ZGInC
lOzvB,LtoaF,BFYQu,zhKer,ELvqR,PpsnX,mJPpZ,,YOxOc,yFYdC,xsBHN,stEPz
YaZyU,UcsdM,PVgSp,kPRzc,nyxcJ,BjUKX,uUsxl,fOUgp,sGrMk,mnJcW,QWEsV,tAJsJ
UGMES,hotTE,ppjMZ,FuugN,Bwvwr,RnDZS,ffcBi,VcLPq,nLXjI,wwzWL,Wnsjl,AyzJK
bvcBb,tLjaC,SMCba,KQNhf,,htXpN,,HJUic,gIxmk,JCaLY,QmCml,FuZlu
AUcLd,acFgk,zshei,OhnDx,JRmUA,mTUKv,hVxuY,jOgth,ebnWG,YmzrS,PXUQD,JwwjK
cbEtG,JhgTc,domBF,dvjqt,MeXfR,FKoFc,GMsSa,wnOTo,vFvPl,MIdrv,GxEme,DYaEz
zspLg,TUehB,KsiNl,rJlnh,WPAxx,QNXST,OpJVV,xJqrb,cAcZL,kiCTg,RKSYQ,yezAX
YfcXA,fkFAn,,kZiYu,BxLCa,VyMZA,qiKxG,VntVu,tFIIv,KtOcn,qHtwa,
,NeVRv,OmCjR,hejrr,TdjCq,qRGUR,hoZFD,Puxlg,KCCvV,SgYcl,KZUdA,vNgxA
YfFJI,dVyqm,KeZfo,ppIVC,WVoaq,ChTWW,NMZko,yugse,NsHUj,SBFmh,WPVzj,fHNou
EwELE,dfJYT,dJPpj,IxkLI,xnjXD,WZvUB,,qmAun,FPCBi,DACGW,FTMGA,ZAcdY
eDREe,UVCyx,IQzwb,CreMg,,JyCmo,DduUE,,CASTZ,pGTjD,xQPcL,qwzzg
EvGNo,LDEqG,dlDdS,cNGql,zOcnE,,ZJVYY,nqqXc,cUUAL,cGcxa,cQQSX,YaKrY
zjMkJ,czMKb,mqQzi,IMXuG,XXriP,TBkWr,aeRkT,NUVgD,OuFBm,ENtcC,Imiah,
vDMfW,uNxAo,adyyv,awfzk,NpWLE,wBsRJ,oxuSm,vbMQZ,pdIDt,,yPVPe,JatKU
oLsEC,iiCVd,xTWVb,ZlkZn,vRDtj,Vkvbs,wXTGU,zteNg,,aLiNm,TdWSz,QdpWW
,dkwOA,QsCeD,YkUaf,mfkbd,,LnmqC,lYMQG,OXZux,,duVxw,
tSnwh,vWkSZ,yZBzX,jvBiJ,BKUnX,UDqaQ,LLaOr,vKwFY,pyfDP,sKDYB,UuAKE,NAdOX
ZttzL,IYHMv,,pvYOw,hOAvo,cBkOT,bsVoC,UjrBS,uTZoA,iPNSG,LdonU,cXoAP
mFxsZ,GOOFv,ecYRz,,mknzO,mHsBA,AKlBY,GDpLe,mQNge,DPPQb,RShZK,QKXQr
oMtjd,HVuSE,wCkvP,YKPFr,zgYRU,cfSEE,JLJDa,JtFZg,QZNqr,lVGAD,,NPMSb
nIFLl,uLXeR,RCIfa,KcExy,sMlVW,bhTah,mHImf,vzAYp,DAzYB,rUgBe,nurWg,mSdgZ
VIbgt,yrIuE,sntsw,YJCXx,yELDd,Kyedm,,FpaSo,wvrol,DqdJv,nDYlC,yPizo
BQKhd,kewoa,GmzdU,VwDPW,,,WeFRn,QYtxO,YpYSC,NQiaK,ZfxFy,KaNGU
ZXIGI,FFsXv,YRrNl,TzCCM,hbBMh,NkXTM,phuoA,BKiTk,eouMC,cYZTl,zcKep,hLcrb
nHQJT,,ZESei,xxWBO,VgtyG,jmPIJ,spZdj,znoqN,zkygO,AGehS,dVyIn,WgCGq
VIXPF,jASMg,uFRCi,ldUUO,ucTiu,bPlHS,iBqTY,LHDXM,HVCKl,jiflx,QhYZr,RtVNK
jyLHD,Hujvp,igJtl,fdRXL,kLjUC,LKhMf,AvgGE,GBxBY,aJDVB,YZABD,VGSCF,JGtlp
viQxg,vRcLA,ZIZPP,qftGK,,SKSmP,osBhF,ErBHW,KzTci,,GDNtb,DdMOr
GRkLH,,AmrtK,eukpg,zgpSo,OWxyF,jsKBi,GYAgP,kedLK,,CZehA,zUesI
eAgiE,vQcXo,GqwtH,USezL,FafvC,QAENy,vZyRU,EhNHv,,BhcoL,,
VYsDy,EpTYE,WPXnL,xwqzo,qAIMU,YdYMO,uonyR,opvij,rsQkQ,QyfUa,eirBQ,rVjFD
,PySTY,wwAjY,,nClER,FQgOI,,,HMMXu,jBqrC,,
